                            EPHEMERIDES NAUTIQUES DU SOLEIL A 0H UT - ANNEE 2027
                            ====================================================
 
|     Date    |Jr.|   AHvo   |Var AHvo|    Dec    |Var Dec|   AHso   |  T.Pass  |   Lever    |   Coucher   |
| 2027 Mar  6 | S | 177  9.1 | 15.002 | S  5 50.3 | -0.97 | 163 30.4 | 12 11 17 | 6 30 ( 97) | 17 54 (263) |
| 2027 Mar  7 | D | 177 12.5 | 15.002 | S  5 27.1 | -0.97 | 164 29.5 | 12 11  3 | 6 28 ( 97) | 17 55 (264) |
| 2027 Mar  8 | L | 177 16.1 | 15.003 | S  5  3.7 | -0.98 | 165 28.7 | 12 10 48 | 6 26 ( 96) | 17 56 (264) |
| 2027 Mar  9 | M | 177 19.7 | 15.003 | S  4 40.3 | -0.98 | 166 27.8 | 12 10 34 | 6 24 ( 96) | 17 58 (265) |
| 2027 Mar 10 | M | 177 23.5 | 15.003 | S  4 16.8 | -0.98 | 167 26.9 | 12 10 19 | 6 22 ( 95) | 17 59 (265) |
| 2027 Mar 11 | J | 177 27.3 | 15.003 | S  3 53.3 | -0.98 | 168 26.1 | 12 10  3 | 6 21 ( 95) | 18 00 (266) |
| 2027 Mar 12 | V | 177 31.2 | 15.003 | S  3 29.7 | -0.98 | 169 25.2 | 12  9 47 | 6 19 ( 94) | 18 02 (266) |
| 2027 Mar 13 | S | 177 35.2 | 15.003 | S  3  6.1 | -0.99 | 170 24.4 | 12  9 31 | 6 17 ( 93) | 18 03 (267) |
| 2027 Mar 14 | D | 177 39.2 | 15.003 | S  2 42.4 | -0.99 | 171 23.5 | 12  9 15 | 6 15 ( 93) | 18 04 (267) |
| 2027 Mar 15 | L | 177 43.4 | 15.003 | S  2 18.8 | -0.99 | 172 22.6 | 12  8 58 | 6 13 ( 92) | 18 06 (268) |
| 2027 Mar 16 | M | 177 47.6 | 15.003 | S  1 55.1 | -0.99 | 173 21.8 | 12  8 41 | 6 11 ( 92) | 18 07 (269) |
| 2027 Mar 17 | M | 177 51.8 | 15.003 | S  1 31.3 | -0.99 | 174 20.9 | 12  8 24 | 6 09 ( 91) | 18 08 (269) |
| 2027 Mar 18 | J | 177 56.1 | 15.003 | S  1  7.6 | -0.99 | 175 20.1 | 12  8  7 | 6 08 ( 91) | 18 09 (270) |
| 2027 Mar 19 | V | 178  0.5 | 15.003 | S  0 43.9 | -0.99 | 176 19.2 | 12  7 49 | 6 06 ( 90) | 18 11 (270) |
| 2027 Mar 20 | S | 178  4.9 | 15.003 | S  0 20.2 | -0.99 | 177 18.3 | 12  7 31 | 6 04 ( 90) | 18 12 (271) |
| 2027 Mar 21 | D | 178  9.3 | 15.003 | N  0  3.5 | +0.99 | 178 17.5 | 12  7 14 | 6 02 ( 89) | 18 13 (271) |
| 2027 Mar 22 | L | 178 13.8 | 15.003 | N  0 27.2 | +0.99 | 179 16.6 | 12  6 56 | 6 00 ( 88) | 18 15 (272) |
| 2027 Mar 23 | M | 178 18.3 | 15.003 | N  0 50.9 | +0.99 | 180 15.7 | 12  6 38 | 5 58 ( 88) | 18 16 (272) |
| 2027 Mar 24 | M | 178 22.8 | 15.003 | N  1 14.5 | +0.98 | 181 14.9 | 12  6 20 | 5 56 ( 87) | 18 17 (273) |
| 2027 Mar 25 | J | 178 27.4 | 15.003 | N  1 38.2 | +0.98 | 182 14.0 | 12  6  1 | 5 54 ( 87) | 18 18 (274) |
| 2027 Mar 26 | V | 178 31.9 | 15.003 | N  2  1.7 | +0.98 | 183 13.2 | 12  5 43 | 5 53 ( 86) | 18 20 (274) |
| 2027 Mar 27 | S | 178 36.4 | 15.003 | N  2 25.3 | +0.98 | 184 12.3 | 12  5 25 | 5 51 ( 86) | 18 21 (275) |
| 2027 Mar 28 | D | 178 41.0 | 15.003 | N  2 48.8 | +0.98 | 185 11.4 | 12  5  7 | 5 49 ( 85) | 18 22 (275) |
| 2027 Mar 29 | L | 178 45.5 | 15.003 | N  3 12.2 | +0.97 | 186 10.6 | 12  4 49 | 5 47 ( 84) | 18 23 (276) |
| 2027 Mar 30 | M | 178 50.0 | 15.003 | N  3 35.6 | +0.97 | 187  9.7 | 12  4 31 | 5 45 ( 84) | 18 25 (276) |
| 2027 Mar 31 | M | 178 54.5 | 15.003 | N  3 58.9 | +0.97 | 188  8.9 | 12  4 13 | 5 43 ( 83) | 18 26 (277) |
| 2027 Avr  1 | J | 178 59.0 | 15.003 | N  4 22.1 | +0.97 | 189  8.0 | 12  3 55 | 5 41 ( 83) | 18 27 (277) |
| 2027 Avr  2 | V | 179  3.4 | 15.003 | N  4 45.3 | +0.96 | 190  7.1 | 12  3 37 | 5 40 ( 82) | 18 29 (278) |
| 2027 Avr  3 | S | 179  7.8 | 15.003 | N  5  8.4 | +0.96 | 191  6.3 | 12  3 20 | 5 38 ( 82) | 18 30 (279) |
| 2027 Avr  4 | D | 179 12.2 | 15.003 | N  5 31.3 | +0.95 | 192  5.4 | 12  3  2 | 5 36 ( 81) | 18 31 (279) |
| 2027 Avr  5 | L | 179 16.6 | 15.003 | N  5 54.2 | +0.95 | 193  4.5 | 12  2 45 | 5 34 ( 81) | 18 32 (280) |
| 2027 Avr  6 | M | 179 20.8 | 15.003 | N  6 17.0 | +0.95 | 194  3.7 | 12  2 28 | 5 32 ( 80) | 18 34 (280) |
| 2027 Avr  7 | M | 179 25.1 | 15.003 | N  6 39.7 | +0.94 | 195  2.8 | 12  2 11 | 5 30 ( 80) | 18 35 (281) |
| 2027 Avr  8 | J | 179 29.3 | 15.003 | N  7  2.3 | +0.94 | 196  2.0 | 12  1 55 | 5 28 ( 79) | 18 36 (281) |
| 2027 Avr  9 | V | 179 33.4 | 15.003 | N  7 24.7 | +0.93 | 197  1.1 | 12  1 38 | 5 27 ( 79) | 18 37 (282) |
| 2027 Avr 10 | S | 179 37.4 | 15.003 | N  7 47.0 | +0.92 | 198  0.2 | 12  1 22 | 5 25 ( 78) | 18 39 (282) |
| 2027 Avr 11 | D | 179 41.4 | 15.003 | N  8  9.2 | +0.92 | 198 59.4 | 12  1  6 | 5 23 ( 77) | 18 40 (283) |
| 2027 Avr 12 | L | 179 45.4 | 15.003 | N  8 31.3 | +0.91 | 199 58.5 | 12  0 51 | 5 21 ( 77) | 18 41 (283) |
| 2027 Avr 13 | M | 179 49.2 | 15.003 | N  8 53.2 | +0.91 | 200 57.7 | 12  0 35 | 5 20 ( 76) | 18 43 (284) |
| 2027 Avr 14 | M | 179 53.0 | 15.003 | N  9 14.9 | +0.90 | 201 56.8 | 12  0 20 | 5 18 ( 76) | 18 44 (284) |
| 2027 Avr 15 | J | 179 56.8 | 15.003 | N  9 36.5 | +0.89 | 202 55.9 | 12  0  6 | 5 16 ( 75) | 18 45 (285) |
| 2027 Avr 16 | V | 180  0.4 | 15.002 | N  9 58.0 | +0.89 | 203 55.1 | 11 59 51 | 5 14 ( 75) | 18 46 (285) |
| 2027 Avr 17 | S | 180  3.9 | 15.002 | N 10 19.2 | +0.88 | 204 54.2 | 11 59 37 | 5 13 ( 74) | 18 48 (286) |
| 2027 Avr 18 | D | 180  7.4 | 15.002 | N 10 40.3 | +0.87 | 205 53.3 | 11 59 24 | 5 11 ( 74) | 18 49 (286) |
| 2027 Avr 19 | L | 180 10.7 | 15.002 | N 11  1.2 | +0.86 | 206 52.5 | 11 59 10 | 5 09 ( 73) | 18 50 (287) |
| 2027 Avr 20 | M | 180 14.0 | 15.002 | N 11 22.0 | +0.86 | 207 51.6 | 11 58 58 | 5 07 ( 73) | 18 51 (287) |
| 2027 Avr 21 | M | 180 17.2 | 15.002 | N 11 42.5 | +0.85 | 208 50.8 | 11 58 45 | 5 06 ( 72) | 18 53 (288) |
| 2027 Avr 22 | J | 180 20.2 | 15.002 | N 12  2.9 | +0.84 | 209 49.9 | 11 58 33 | 5 04 ( 72) | 18 54 (288) |
| 2027 Avr 23 | V | 180 23.2 | 15.002 | N 12 23.1 | +0.83 | 210 49.0 | 11 58 22 | 5 02 ( 71) | 18 55 (289) |
| 2027 Avr 24 | S | 180 26.0 | 15.002 | N 12 43.0 | +0.82 | 211 48.2 | 11 58 11 | 5 01 ( 71) | 18 56 (289) |
| 2027 Avr 25 | D | 180 28.7 | 15.002 | N 13  2.8 | +0.81 | 212 47.3 | 11 58  0 | 4 59 ( 70) | 18 58 (290) |
| 2027 Avr 26 | L | 180 31.3 | 15.002 | N 13 22.3 | +0.80 | 213 46.5 | 11 57 50 | 4 58 ( 70) | 18 59 (290) |
| 2027 Avr 27 | M | 180 33.7 | 15.002 | N 13 41.6 | +0.80 | 214 45.6 | 11 57 40 | 4 56 ( 69) | 19 00 (291) |
| 2027 Avr 28 | M | 180 36.1 | 15.002 | N 14  0.7 | +0.79 | 215 44.7 | 11 57 31 | 4 54 ( 69) | 19 01 (291) |
| 2027 Avr 29 | J | 180 38.3 | 15.001 | N 14 19.6 | +0.78 | 216 43.9 | 11 57 23 | 4 53 ( 69) | 19 03 (292) |
| 2027 Avr 30 | V | 180 40.3 | 15.001 | N 14 38.2 | +0.77 | 217 43.0 | 11 57 15 | 4 51 ( 68) | 19 04 (292) |
| 2027 Mai  1 | S | 180 42.3 | 15.001 | N 14 56.6 | +0.76 | 218 42.2 | 11 57  7 | 4 50 ( 68) | 19 05 (293) |
| 2027 Mai  2 | D | 180 44.1 | 15.001 | N 15 14.7 | +0.75 | 219 41.3 | 11 57  0 | 4 48 ( 67) | 19 06 (293) |
| 2027 Mai  3 | L | 180 45.7 | 15.001 | N 15 32.6 | +0.73 | 220 40.4 | 11 56 54 | 4 47 ( 67) | 19 08 (294) |
| 2027 Mai  4 | M | 180 47.2 | 15.001 | N 15 50.3 | +0.72 | 221 39.6 | 11 56 48 | 4 46 ( 66) | 19 09 (294) |
| 2027 Mai  5 | M | 180 48.6 | 15.001 | N 16  7.6 | +0.71 | 222 38.7 | 11 56 43 | 4 44 ( 66) | 19 10 (294) |
| 2027 Mai  6 | J | 180 49.8 | 15.001 | N 16 24.8 | +0.70 | 223 37.8 | 11 56 39 | 4 43 ( 65) | 19 11 (295) |
| 2027 Mai  7 | V | 180 50.9 | 15.001 | N 16 41.6 | +0.69 | 224 37.0 | 11 56 34 | 4 41 ( 65) | 19 13 (295) |
| 2027 Mai  8 | S | 180 51.9 | 15.001 | N 16 58.1 | +0.68 | 225 36.1 | 11 56 31 | 4 40 ( 65) | 19 14 (296) |
| 2027 Mai  9 | D | 180 52.7 | 15.000 | N 17 14.4 | +0.67 | 226 35.3 | 11 56 28 | 4 39 ( 64) | 19 15 (296) |
| 2027 Mai 10 | L | 180 53.3 | 15.000 | N 17 30.4 | +0.65 | 227 34.4 | 11 56 26 | 4 37 ( 64) | 19 16 (296) |
| 2027 Mai 11 | M | 180 53.9 | 15.000 | N 17 46.1 | +0.64 | 228 33.5 | 11 56 24 | 4 36 ( 63) | 19 17 (297) |
| 2027 Mai 12 | M | 180 54.3 | 15.000 | N 18  1.5 | +0.63 | 229 32.7 | 11 56 22 | 4 35 ( 63) | 19 19 (297) |
| 2027 Mai 13 | J | 180 54.5 | 15.000 | N 18 16.5 | +0.62 | 230 31.8 | 11 56 22 | 4 34 ( 63) | 19 20 (298) |
| 2027 Mai 14 | V | 180 54.6 | 15.000 | N 18 31.3 | +0.60 | 231 31.0 | 11 56 22 | 4 33 ( 62) | 19 21 (298) |
| 2027 Mai 15 | S | 180 54.6 | 15.000 | N 18 45.8 | +0.59 | 232 30.1 | 11 56 22 | 4 31 ( 62) | 19 22 (298) |
| 2027 Mai 16 | D | 180 54.4 | 15.000 | N 18 59.9 | +0.58 | 233 29.2 | 11 56 23 | 4 30 ( 62) | 19 23 (299) |
| 2027 Mai 17 | L | 180 54.2 | 15.000 | N 19 13.7 | +0.56 | 234 28.4 | 11 56 24 | 4 29 ( 61) | 19 24 (299) |
| 2027 Mai 18 | M | 180 53.7 | 15.000 | N 19 27.2 | +0.55 | 235 27.5 | 11 56 26 | 4 28 ( 61) | 19 25 (299) |
| 2027 Mai 19 | M | 180 53.1 | 15.000 | N 19 40.4 | +0.53 | 236 26.7 | 11 56 29 | 4 27 ( 61) | 19 26 (300) |
| 2027 Mai 20 | J | 180 52.4 | 14.999 | N 19 53.2 | +0.52 | 237 25.8 | 11 56 32 | 4 26 ( 60) | 19 28 (300) |
| 2027 Mai 21 | V | 180 51.6 | 14.999 | N 20  5.7 | +0.51 | 238 24.9 | 11 56 35 | 4 25 ( 60) | 19 29 (300) |
| 2027 Mai 22 | S | 180 50.6 | 14.999 | N 20 17.8 | +0.49 | 239 24.1 | 11 56 40 | 4 24 ( 60) | 19 30 (301) |
| 2027 Mai 23 | D | 180 49.5 | 14.999 | N 20 29.6 | +0.48 | 240 23.2 | 11 56 44 | 4 23 ( 59) | 19 31 (301) |
| 2027 Mai 24 | L | 180 48.3 | 14.999 | N 20 41.1 | +0.46 | 241 22.4 | 11 56 50 | 4 22 ( 59) | 19 32 (301) |
| 2027 Mai 25 | M | 180 46.9 | 14.999 | N 20 52.2 | +0.45 | 242 21.5 | 11 56 55 | 4 22 ( 59) | 19 33 (301) |
| 2027 Mai 26 | M | 180 45.4 | 14.999 | N 21  2.9 | +0.43 | 243 20.6 | 11 57  2 | 4 21 ( 58) | 19 34 (302) |
| 2027 Mai 27 | J | 180 43.8 | 14.999 | N 21 13.3 | +0.42 | 244 19.8 | 11 57  8 | 4 20 ( 58) | 19 35 (302) |
| 2027 Mai 28 | V | 180 42.1 | 14.999 | N 21 23.3 | +0.40 | 245 18.9 | 11 57 15 | 4 19 ( 58) | 19 36 (302) |
| 2027 Mai 29 | S | 180 40.2 | 14.999 | N 21 32.9 | +0.39 | 246 18.0 | 11 57 23 | 4 19 ( 58) | 19 37 (302) |
| 2027 Mai 30 | D | 180 38.2 | 14.999 | N 21 42.2 | +0.37 | 247 17.2 | 11 57 31 | 4 18 ( 57) | 19 38 (303) |
| 2027 Mai 31 | L | 180 36.1 | 14.998 | N 21 51.1 | +0.35 | 248 16.3 | 11 57 40 | 4 17 ( 57) | 19 38 (303) |
| 2027 Jun  1 | M | 180 33.9 | 14.998 | N 21 59.6 | +0.34 | 249 15.5 | 11 57 49 | 4 17 ( 57) | 19 39 (303) |
| 2027 Jun  2 | M | 180 31.6 | 14.998 | N 22  7.7 | +0.32 | 250 14.6 | 11 57 58 | 4 16 ( 57) | 19 40 (303) |
| 2027 Jun  3 | J | 180 29.2 | 14.998 | N 22 15.4 | +0.31 | 251 13.7 | 11 58  8 | 4 16 ( 57) | 19 41 (304) |
| 2027 Jun  4 | V | 180 26.7 | 14.998 | N 22 22.8 | +0.29 | 252 12.9 | 11 58 18 | 4 15 ( 56) | 19 42 (304) |
| 2027 Jun  5 | S | 180 24.1 | 14.998 | N 22 29.7 | +0.27 | 253 12.0 | 11 58 29 | 4 15 ( 56) | 19 42 (304) |
| 2027 Jun  6 | D | 180 21.4 | 14.998 | N 22 36.3 | +0.26 | 254 11.2 | 11 58 40 | 4 14 ( 56) | 19 43 (304) |
| 2027 Jun  7 | L | 180 18.6 | 14.998 | N 22 42.5 | +0.24 | 255 10.3 | 11 58 51 | 4 14 ( 56) | 19 44 (304) |
| 2027 Jun  8 | M | 180 15.8 | 14.998 | N 22 48.2 | +0.22 | 256  9.4 | 11 59  3 | 4 14 ( 56) | 19 45 (304) |
| 2027 Jun  9 | M | 180 12.9 | 14.998 | N 22 53.6 | +0.21 | 257  8.6 | 11 59 14 | 4 14 ( 56) | 19 45 (304) |
| 2027 Jun 10 | J | 180 10.0 | 14.998 | N 22 58.6 | +0.19 | 258  7.7 | 11 59 26 | 4 13 ( 55) | 19 46 (305) |
| 2027 Jun 11 | V | 180  7.0 | 14.998 | N 23  3.1 | +0.17 | 259  6.9 | 11 59 38 | 4 13 ( 55) | 19 46 (305) |
| 2027 Jun 12 | S | 180  3.9 | 14.998 | N 23  7.3 | +0.16 | 260  6.0 | 11 59 51 | 4 13 ( 55) | 19 47 (305) |
| 2027 Jun 13 | D | 180  0.8 | 14.998 | N 23 11.0 | +0.14 | 261  5.1 | 12  0  3 | 4 13 ( 55) | 19 47 (305) |
| 2027 Jun 14 | L | 179 57.7 | 14.998 | N 23 14.3 | +0.12 | 262  4.3 | 12  0 16 | 4 13 ( 55) | 19 48 (305) |
| 2027 Jun 15 | M | 179 54.5 | 14.998 | N 23 17.3 | +0.10 | 263  3.4 | 12  0 28 | 4 13 ( 55) | 19 48 (305) |
| 2027 Jun 16 | M | 179 51.3 | 14.998 | N 23 19.8 | +0.09 | 264  2.6 | 12  0 41 | 4 13 ( 55) | 19 49 (305) |
| 2027 Jun 17 | J | 179 48.1 | 14.998 | N 23 21.9 | +0.07 | 265  1.7 | 12  0 54 | 4 13 ( 55) | 19 49 (305) |
| 2027 Jun 18 | V | 179 44.9 | 14.998 | N 23 23.6 | +0.05 | 266  0.8 | 12  1  7 | 4 13 ( 55) | 19 49 (305) |
| 2027 Jun 19 | S | 179 41.7 | 14.998 | N 23 24.8 | +0.04 | 266 60.0 | 12  1 20 | 4 13 ( 55) | 19 50 (305) |
| 2027 Jun 20 | D | 179 38.4 | 14.998 | N 23 25.7 | +0.02 | 267 59.1 | 12  1 33 | 4 13 ( 55) | 19 50 (305) |
| 2027 Jun 21 | L | 179 35.2 | 14.998 | N 23 26.2 | +0.00 | 268 58.3 | 12  1 46 | 4 13 ( 55) | 19 50 (305) |
